index;baseKv;Vm;Va;Pd;Qd;Pg;Qg;type
141;380;1;10.63;0;0;1307.68;0;2
142;380;1;-73.45;132.24;0;0;0;1
143;380;1;47.99;0;0;950.66;0;2
144;380;1;-59.75;0;0;1019.48;0;2
145;380;1;-81.98;908.89;0;0;0;1
146;380;1;-78.1;908.89;0;0;0;1
147;380;1;-79;908.89;0;0;0;1
148;380;1;-79.85;158;0;0;0;1
149;380;1;-77.49;907.88;0;0;0;1
150;380;1;-16.06;564;0;0;0;1
151;380;1;-78.37;887.88;0;0;0;1
152;380;1;-62.1;0;0;704;0;2
153;380;1;-44.82;0;0;185.26;0;2
154;380;1;-75.61;908.89;0;0;0;1
155;380;1;-70.78;167.69;0;0;0;1
156;380;1;-96.46;908.89;0;0;0;1
157;380;1;-67.93;271.85;0;0;0;1
158;380;1;-78.98;166.68;0;0;0;1
159;380;1;-29.34;0;0;980.76;0;2
160;380;1;-94.73;0;0;130.77;0;2
161;380;1;-51.03;0;0;291.13;0;2
162;380;1;35.33;0;0;846.5;0;2
163;380;1;-58.82;0;0;211.73;0;2
164;380;1;-54.67;0;0;1905.57;0;2
165;380;1;-52;0;0;400;0;2
166;380;1;-53.36;0;0;198.5;0;2
167;380;1;-101.95;167.69;0;0;0;1
168;380;1;-68.8;167.69;0;0;0;1
169;380;1;-60.26;242;0;0;0;1
170;380;1;-51.7;564.69;0;0;0;1
171;380;1;-108.8;166.68;0;0;0;1
172;380;1;-51.48;564.69;0;0;0;1
173;380;1;-110.67;166.68;0;0;0;1
174;380;1;-69.36;0;0;204.32;0;2
175;380;1;-58.49;564.69;0;0;0;1
176;380;1;-54.08;0;0;1079.83;0;2
177;380;1;-68.37;565.7;0;0;0;1
178;380;1;-61.2;271.85;0;0;0;1
179;380;1;-117.96;167.69;0;0;0;1
180;380;1;-74.65;148;0;0;0;1
181;380;1;-116.17;167.69;0;0;0;1
182;380;1;-118.84;167.69;0;0;0;1
183;380;1;-65.8;564.69;0;0;0;1
184;380;1;-115.18;0;0;264.66;0;2
185;380;1;-76.64;147;0;0;0;1
186;380;1;-70.69;564.69;0;0;0;1
187;380;1;-116.67;166.68;0;0;0;1
188;380;1;-53.86;71;0;0;0;1
189;380;1;-71.34;565.7;0;0;0;1
190;380;1;-52;50;0;0;0;1
191;380;1;-115.97;609.77;0;0;0;1
192;380;1;-77.26;349.1;0;0;0;1
193;380;1;-104.35;609.77;0;446.74;0;2
194;380;1;-119.87;580.19;0;0;0;1
195;380;1;-117.55;609.77;0;0;0;1
196;380;1;-66.88;348.09;0;0;0;1
197;380;1;-76.26;564.69;0;0;0;1
198;380;1;-68.49;348.09;0;0;0;1
199;380;1;-56.03;0;0;3600;0;2
200;380;1;-57.39;347.08;0;0;0;1
201;380;1;-53.32;0;0;2168.29;0;2
202;380;1;-80.32;608.76;0;0;0;1
203;380;1;-65.08;608.76;0;0;0;1
204;380;1;-155.09;609.77;0;0;0;1
205;380;1;-118.53;609.77;0;0;0;1
206;380;1;-198.78;609.77;0;0;0;1
207;380;1;-65.77;0;0;948.07;0;2
208;380;1;-97.97;0;0;121.75;0;2
209;380;1;-270.13;609.77;0;0;0;1
210;380;1;-104.23;609.77;0;0;0;1
211;380;1;-234.69;608.76;0;0;0;1
212;380;1;-78.43;607.75;0;0;0;1
213;380;1;-106.89;609.77;0;0;0;1
214;380;1;-87.63;609.77;0;0;0;1
215;380;1;-72.86;0;0;1683.22;0;2
216;380;1;-63.56;0;0;1587.94;0;2
217;380;1;54.21;0;0;615.78;0;2
218;380;1;47.88;0;0;5400;0;2
219;380;1;31.13;866.59;0;0;0;1
220;380;1;-3.67;866.59;0;0;0;1
221;380;1;12.33;866.59;0;0;0;1
222;380;1;35.09;767;0;600;0;2
223;380;1;16.33;866.59;0;0;0;1
224;380;1;36.28;0;0;0;0;3
225;380;1;26.59;866.59;0;0;0;1
226;380;1;32.65;0;0;267.5;0;2
227;380;1;23.06;866.59;0;0;0;1
228;380;1;74.08;0;0;2000;0;2
229;380;1;3.34;216.08;0;0;0;1
230;380;1;28.04;254.84;0;0;0;1
231;380;1;18.37;0;0;2358.8;0;2
232;380;1;12.75;216.08;0;0;0;1
233;380;1;48.58;0;0;48.78;0;2
234;380;1;34.78;170.8;0;0;0;1
235;380;1;19.6;0;0;4618;0;2
236;380;1;6.22;216.08;0;0;0;1
237;380;1;19.45;216.08;0;0;0;1
238;380;1;10.73;270.16;0;0;0;1
239;380;1;16.97;216.08;0;0;0;1
240;380;1;40.38;251.63;0;0;0;1
241;380;1;61.22;251.63;0;0;0;1
242;380;1;-9.68;270.16;0;0;0;1
243;380;1;34.45;170.8;0;0;0;1
244;380;1;77;0;0;5010.25;0;2
245;380;1;-11.24;270.16;0;0;0;1
246;380;1;-10.77;270.16;0;0;0;1
247;380;1;3.84;216.08;0;0;0;1
248;380;1;2.67;0;0;1337.49;0;2
249;380;1;3.95;216.08;0;0;0;1
250;380;1;-23.25;0;0;2225.79;0;2
251;380;1;15.93;216.08;0;0;0;1
252;380;1;6.68;216.08;0;0;0;1
253;380;1;-19.71;270.16;0;0;0;1
254;380;1;65.79;251.63;0;0;0;1
255;380;1;68.8;0;0;1386.27;0;2
256;380;1;-1.39;216.08;0;0;0;1
257;380;1;61.68;0;0;539.87;0;2
258;380;1;-6.48;270.16;0;0;0;1
259;380;1;14.94;170.8;0;0;0;1
260;380;1;1.8;216.08;0;0;0;1
261;380;1;-17.12;270.16;0;0;0;1
262;380;1;21.3;170.8;0;0;0;1
263;380;1;52.81;251.63;0;0;0;1
264;380;1;-0.4;216.08;0;0;0;1
265;380;1;-18.5;501.99;0;0;0;1
266;380;1;-25.09;724.9;0;0;0;1
267;380;1;11.95;151.36;0;0;0;1
268;380;1;-25;270.16;0;0;0;1
269;380;1;-21.26;501.99;0;0;0;1
270;380;1;13.19;170.8;0;0;0;1
271;380;1;6.85;216.08;0;0;0;1
272;380;1;-4.59;1277.36;0;0;0;1
273;380;1;41.24;0;0;438.98;0;2
274;380;1;-11.27;0;0;713.33;0;2
275;380;1;-37.3;0;0;365.82;0;2
276;380;1;-29.74;270.16;0;0;0;1
277;380;1;-12.96;270.16;0;0;0;1
278;380;1;58.25;0;0;1603.62;0;2
279;380;1;-10.08;1277.36;0;0;0;1
280;380;1;-34.89;1277.36;0;0;0;1
281;380;1;41.02;251.63;0;0;0;1
282;380;1;-22.44;1277.36;0;0;0;1
283;380;1;25.63;251.63;0;0;0;1
284;380;1;15.9;170.8;0;0;0;1
285;380;1;-19.48;1277.36;0;0;0;1
286;380;1;37.72;724.9;0;0;0;1
287;380;1;42.8;251.63;0;0;0;1
288;380;1;-86.17;225;0;0;0;1
289;380;1;-2.03;0;0;1515.83;0;2
290;380;1;12.92;170.8;0;0;0;1
291;380;1;-56.91;1277.36;0;0;0;1
292;380;1;-29.5;1277.36;0;0;0;1
293;380;1;-34.55;1277.36;0;0;0;1
294;380;1;-37.8;222.31;0;0;0;1
295;380;1;-40.8;221.81;0;0;0;1
296;380;1;-18.25;1277.36;0;0;0;1
